(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Legacy Shaders/Bumped Diffuse (19313 verts): 
		Bannar 15 (128 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Canopi 03 (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Paper Box 03 (109 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 01 (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Fire Hydrant (3) (430 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (10) (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 01C (1) (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 04 (32 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (8) (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Post Box (2) (116 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 01 (4) (32 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (7) (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Fire Hydrant (1) (430 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 01D (1) (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bench (7) (284 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Sign 10 (1) (24 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (304 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Light 01 (1) (52 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Post Box (116 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bench (6) (284 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Bench (5) (284 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] [Props (UnityEngine.Material)] [Props (UnityEngine.Material)] 	 [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		Canopi 01 (10) (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (304 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (2) (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (304 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Bannar 01D (104 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Box001 (176 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Pilar 02 (9) (54 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 04 (2) (32 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		Canopi 01 (8) (20 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
		AC (1) (24 verts)	-1	True	False	False	1	[Props (UnityEngine.Material)] 	
